Name;Type;Format;Position;Length;Precision;Currency;Decimal;Group;Null if;Default;Trim type;Repeat
PUBCSNUM;Integer;#;0;8;;;;;;;os dois;N
REG;Integer;#;8;10;;;;;;;os dois;N
MAR_STAT;Integer;#;18;1;;;;;9;;os dois;N
RACE1V;Integer;#;19;2;;;;;99;;os dois;N
NHIADE;Integer;#;22;1;;;;;;;os dois;N
SEX;Integer;#;23;1;;;;;;;os dois;N
AGE_DX;Integer;#;24;3;;;;;999;;os dois;N
YR_BRTH;Integer;#;27;4;;;;;;;os dois;N
SEQ_NUM;Integer;#;34;2;;;;;;;os dois;N
MDXRECMP;Integer;#;36;2;;;;;;;os dois;N
YEAR_DX;Integer;#;38;4;;;;;;;os dois;N
PRIMSITE;String;#;42;4;;;;;;;os dois;N
LATERAL;Integer;#;46;1;;;;;;;os dois;N
HISTO2V;Integer;#;47;4;;;;;;;os dois;N
BEHO2V;Integer;#;51;1;;;;;;;os dois;N
HISTO3V;Integer;#;52;4;;;;;;;os dois;N
BEHO3V;Integer;#;56;1;;;;;;;os dois;N
GRADE;Integer;#;57;1;;;;;9;;os dois;N
DX_CONF;Integer;#;58;1;;;;;9;;os dois;N
REPT_SRC;Integer;#;59;1;;;;;;;os dois;N
EOD10_SZ;Integer;#;60;3;;;;;999;;os dois;N
EOD10_EX;Integer;#;63;2;;;;;99;;os dois;N
EOD10_PE;Integer;#;65;2;;;;;99;;os dois;N
EOD10_ND;Integer;#;67;1;;;;;9;;os dois;N
EOD10_PN;Integer;#;68;2;;;;;99;;os dois;N
EOD10_NE;Integer;#;70;2;;;;;99;;os dois;N
EOD13;String;#;72;13;;;;;;;os dois;N
EOD2;String;#;85;2;;;;;;;os dois;N
EOD4;Integer;#;87;4;;;;;;;os dois;N
EOD_CODE;Integer;#;91;1;;;;;;;os dois;N
TUMOR_1V;Integer;#;92;1;;;;;9;;os dois;N
TUMOR_2V;Integer;#;93;1;;;;;9;;os dois;N
TUMOR_3V;Integer;#;94;1;;;;;9;;os dois;N
CSTUMSIZ;Integer;#;95;3;;;;;999;;os dois;N
CSEXTEN;Integer;#;98;3;;;;;999;;os dois;N
CSLYMPHN;Integer;#;101;3;;;;;999;;os dois;N
CSMETSDX;Integer;#;104;2;;;;;99;;os dois;N
CS1SITE;Integer;#;106;3;;;;;999;;os dois;N
CS2SITE;Integer;#;109;3;;;;;999;;os dois;N
CS3SITE;Integer;#;112;3;;;;;999;;os dois;N
CS4SITE;Integer;#;115;3;;;;;999;;os dois;N
CS5SITE;Integer;#;118;3;;;;;999;;os dois;N
CS6SITE;Integer;#;121;3;;;;;999;;os dois;N
CS25SITE;Integer;#;124;3;;;;;999;;os dois;N
DAJCCT;Integer;#;127;2;;;;;99;;os dois;N
DAJCCN;Integer;#;129;2;;;;;99;;os dois;N
DAJCCM;Integer;#;131;2;;;;;99;;os dois;N
DAJCCSTG;Integer;#;133;2;;;;;99;;os dois;N
DSS1977S;Integer;#;135;1;;;;;9;;os dois;N
SCSSM2KO;Integer;#;136;1;;;;;9;;os dois;N
DAJCCFL;Integer;#;137;1;;;;;;;os dois;N
CSVFIRST;Integer;#;140;6;;;;;;;os dois;N
CSVLATES;Integer;#;146;6;;;;;;;os dois;N
CSVCURRENT;Integer;#;152;6;;;;;;;os dois;N
SURGPRIF;Integer;#;158;2;;;;;99;;os dois;N
SURGSCOF;Integer;#;160;1;;;;;9;;os dois;N
SURGSITF;Integer;#;161;1;;;;;9;;os dois;N
NUMNODES;Integer;#;162;2;;;;;99;;os dois;N
NO_SURG;Integer;#;165;1;;;;;9;;os dois;N
SS_SURG;Integer;#;169;2;;;;;9;;os dois;N
SURGSCOP;Integer;#;173;1;;;;;9;;os dois;N
SURGSITE;Integer;#;174;1;;;;;9;;os dois;N
REC_NO;Integer;#;175;2;;;;;;;os dois;N
TYPE_FU;Integer;#;190;1;;;;;;;os dois;N
AGE_1REC;Integer;#;191;2;;;;;99;;os dois;N
SITERWHO;Integer;#;198;5;;;;;99999;;os dois;N
ICDOTO9V;Integer;#;203;4;;;;;9999;;os dois;N
ICDOT10V;String;#;207;4;;;;;9999;;os dois;N
ICCC3WHO;Integer;#;217;3;;;;;999;;os dois;N
ICCC3XWHO;Integer;#;220;3;;;;;999;;os dois;N
BEHTREND;Integer;#;223;1;;;;;;;os dois;N
HISTREC;Integer;#;225;2;;;;;;;os dois;N
HISTRECB;Integer;#;227;2;;;;;;;os dois;N
CS0204SCHEMA;Integer;#;229;3;;;;;;;os dois;N
RAC_RECA;Integer;#;232;1;;;;;9;;os dois;N
RAC_RECY;Integer;#;233;1;;;;;9;;os dois;N
ORIGRECB;Integer;#;234;1;;;;;9;;os dois;N
HST_STGA;Integer;#;235;1;;;;;9;;os dois;N
AJCC_STG;Integer;#;236;2;;;;;99;;os dois;N
AJ_3SEER;Integer;#;238;2;;;;;99;;os dois;N
SSS77VZ;Integer;#;240;1;;;;;9;;os dois;N
SSSM2KPZ;Integer;#;241;1;;;;;9;;os dois;N
FIRSTPRM;Integer;#;244;1;;;;;;;os dois;N
ST_CNTY;Integer;#;245;5;;;;;;;os dois;N
CODPUB;Integer;#;254;5;;;;;99999;;os dois;N
CODPUBKM;Integer;#;259;5;;;;;99999;;os dois;N
STAT_REC;Integer;#;264;1;;;;;;;os dois;N
IHSLINK;Integer;#;265;1;;;;;;;os dois;N
SUMM2K;Integer;#;266;1;;;;;9;;os dois;N
AYASITERWHO;Integer;#;267;2;;;;;99;;os dois;N
LYMSUBRWHO;Integer;#;269;2;;;;;99;;os dois;N
VSRTSADX;Integer;#;271;1;;;;;9;;os dois;N
ODTHCLASS;Integer;#;272;1;;;;;9;;os dois;N
CSTSEVAL;Integer;#;273;1;;;;;9;;os dois;N
CSRGEVAL;Integer;#;274;1;;;;;9;;os dois;N
CSMTEVAL;Integer;#;275;1;;;;;9;;os dois;N
INTPRIM;Integer;#;276;1;;;;;9;;os dois;N
ERSTATUS;Integer;#;277;1;;;;;4;;os dois;N
PRSTATUS;Integer;#;278;1;;;;;4;;os dois;N
CSSCHEMA;Integer;#;279;2;;;;;;;os dois;N
CS8SITE;Integer;#;281;3;;;;;999;;os dois;N
CS10SITE;Integer;#;284;3;;;;;999;;os dois;N
CS11SITE;Integer;#;287;3;;;;;999;;os dois;N
CS13SITE;Integer;#;290;3;;;;;999;;os dois;N
CS15SITE;Integer;#;293;3;;;;;999;;os dois;N
CS16SITE;Integer;#;296;3;;;;;999;;os dois;N
VASINV;Integer;#;299;1;;;;;9;;os dois;N
SRV_TIME_MON;Integer;#;300;4;;;;;9999;;os dois;N
SRV_TIME_MON_FLAG;Integer;#;304;1;;;;;9;;os dois;N
INSREC_PUB;Integer;#;310;1;;;;;5;;os dois;N
DAJCC7T;Integer;#;311;3;;;;;999;;os dois;N
DAJCC7N;Integer;#;314;3;;;;;999;;os dois;N
DAJCC7M;Integer;#;317;3;;;;;999;;os dois;N
DAJCC7STG;Integer;#;320;3;;;;;999;;os dois;N
ADJTM_6VALUE;Integer;#;323;2;;;;;99;;os dois;N
ADJNM_6VALUE;Integer;#;325;2;;;;;99;;os dois;N
ADJM_6VALUE;Integer;#;327;2;;;;;99;;os dois;N
